filename,width,height,class,xmin,ymin,xmax,ymax
B6N_LGRB_I_R06T_part_00000000_00065535_0.png,500,189,delamination,220,35,277,62
B6N_LGRB_I_R06T_part_00000000_00065535_1.png,500,189,delamination,202,14,302,38
B6N_LGRB_I_R06T_part_00000000_00065535_2.png,500,189,delamination,217,36,280,59
B6N_LGRB_I_R06T_part_00000000_00065535_3.png,500,189,delamination,233,14,267,37
B6N_LGRB_I_R06T_part_00000000_00065535_6.png,500,189,delamination,220,37,282,60
B6N_LGRB_I_R06T_part_00000000_00065535_7.png,500,189,delamination,230,14,270,37
B6N_LGRB_I_R06T_part_00000000_00065535_13.png,500,189,delamination,218,18,282,43
B6N_LGRB_I_R06T_part_00000000_00065535_14.png,500,189,delamination,223,40,277,60
B6N_LGRB_I_R06T_part_00000000_00065535_16.png,500,189,delamination,194,17,303,41
B6N_LGRB_I_R06T_part_00000000_00065535_17.png,500,189,delamination,215,18,284,36
B6N_LGRB_I_R06T_part_00000000_00065535_18.png,500,189,delamination,231,40,267,63
B6N_LGRB_I_R06T_part_00000000_00065535_19.png,500,189,delamination,206,37,294,59
B6N_LGRB_I_R06T_part_00000000_00065535_21.png,500,189,delamination,230,37,270,59
B6N_LGRB_I_R06T_part_00000000_00065535_23.png,500,189,delamination,234,16,266,38
B6N_LGRB_I_R06T_part_00000000_00065535_24.png,500,189,delamination,234,43,265,60
B6N_LGRB_I_R06T_part_00000000_00065535_25.png,500,189,delamination,210,14,283,40
B6N_LGRB_I_R06T_part_00000000_00065535_27.png,500,189,delamination,189,20,311,41
B6N_LGRB_I_R06T_part_00000000_00065535_31.png,500,189,delamination,220,20,279,46
B6N_LGRB_I_R06T_part_00000000_00065535_32.png,500,189,delamination,199,23,300,46
B6N_LGRB_I_R06T_part_00000000_00065535_34.png,500,189,delamination,214,22,285,41
B6N_LGRB_I_R06T_part_00000000_00065535_35.png,500,189,delamination,235,19,265,42
B6N_LGRB_I_R06T_part_00000000_00065535_36.png,500,189,delamination,232,20,267,43
B6N_LGRB_I_R06T_part_00000000_00065535_37.png,500,189,delamination,171,20,328,50
B6N_LGRB_I_R06T_part_00000000_00065535_38.png,500,189,delamination,208,19,292,42
B6N_LGRB_I_R06T_part_00000000_00065535_39.png,500,189,delamination,220,23,279,47
B6N_LGRB_I_R06T_part_00000000_00065535_44.png,500,189,delamination,211,14,288,42
B6N_LGRB_I_R06T_part_00000000_00065535_45.png,500,189,delamination,227,19,273,41
B6N_LGRB_I_R06T_part_00000000_00065535_48.png,500,189,delamination,230,19,270,43
B6N_LGRB_I_R06T_part_00000000_00065535_49.png,500,189,delamination,235,21,265,42
B6N_LGRB_I_R06T_part_00000000_00065535_52.png,500,189,delamination,162,19,338,44
B6N_LGRB_I_R06T_part_00000000_00065535_53.png,500,189,delamination,154,16,346,41
B6N_LGRB_I_R06T_part_00000000_00065535_54.png,500,189,delamination,179,19,321,42
B6N_LGRB_I_R06T_part_00000000_00065535_55.png,500,189,delamination,160,17,339,40
B6N_LGRB_I_R06T_part_00000000_00065535_56.png,500,189,delamination,193,17,306,40
B6N_LGRB_I_R06T_part_00000000_00065535_57.png,500,189,delamination,222,13,278,43
B6N_LGRB_I_R06T_part_00000000_00065535_58.png,500,189,delamination,235,22,268,42
B6N_LGRB_I_R06T_part_00000000_00065535_62.png,500,189,delamination,225,18,270,45
